id,title,slug,difficulty,paid_only
3817,Maximum Containers on a Ship,maximum-containers-on-a-ship,Easy,False
3803,Find Products with Valid Serial Numbers,find-products-with-valid-serial-numbers,Easy,False
3799,Unique 3-Digit Even Numbers,unique-3-digit-even-numbers,Easy,False
3790,Fruits Into Baskets II,fruits-into-baskets-ii,Easy,False
3788,Maximum Unique Subarray Sum After Deletion,maximum-unique-subarray-sum-after-deletion,Easy,False
3782,Find Valid Emails,find-valid-emails,Easy,False
3778,Transform Array by Parity,transform-array-by-parity,Easy,False
3768,Check If Digits Are Equal in String After Operations I,check-if-digits-are-equal-in-string-after-operations-i,Easy,False
3753,Maximum Difference Between Even and Odd Frequency I,maximum-difference-between-even-and-odd-frequency-i,Easy,False
3747,Maximum Difference Between Adjacent Elements in a Circular Array,maximum-difference-between-adjacent-elements-in-a-circular-array,Easy,False
3736,Find Valid Pair of Adjacent Digits in String,find-valid-pair-of-adjacent-digits-in-string,Easy,False
3731,Sum of Variable Length Subarrays,sum-of-variable-length-subarrays,Easy,False
3723,Sum of Good Numbers,sum-of-good-numbers,Easy,False
3709,Find Special Substring of Length K,find-special-substring-of-length-k,Easy,False
3708,Zigzag Grid Traversal With Skip,zigzag-grid-traversal-with-skip,Easy,False
3705,Find the Largest Almost Missing Integer,find-the-largest-almost-missing-integer,Easy,False
3704,Count Partitions with Even Sum Difference,count-partitions-with-even-sum-difference,Easy,False
3702,Maximum Subarray With Equal Products,maximum-subarray-with-equal-products,Easy,False
3691,Minimum Operations to Make Columns Strictly Increasing,minimum-operations-to-make-columns-strictly-increasing,Easy,False
3685,Count Subarrays of Length Three With a Condition,count-subarrays-of-length-three-with-a-condition,Easy,False
3684,Substring Matching Pattern,substring-matching-pattern,Easy,False
3676,Smallest Number With All Set Bits,smallest-number-with-all-set-bits,Easy,False
3656,Minimum Number of Operations to Make Elements in Array Distinct,minimum-number-of-operations-to-make-elements-in-array-distinct,Easy,False
3651,Transformed Array,transformed-array,Easy,False
3644,Minimum Positive Sum Subarray ,minimum-positive-sum-subarray,Easy,False
3636,Check Balanced String,check-balanced-string,Easy,False
3632,Button with Longest Push Time,button-with-longest-push-time,Easy,False
3626,Smallest Divisible Digit Product I,smallest-divisible-digit-product-i,Easy,False
3625,Stone Removal Game,stone-removal-game,Easy,False
3621,Minimum Operations to Make Array Values Equal to K,minimum-operations-to-make-array-values-equal-to-k,Easy,False
3617,Find the Original Typed String I,find-the-original-typed-string-i,Easy,False
3616,Make Array Elements Equal to Zero,make-array-elements-equal-to-zero,Easy,False
3612,Adjacent Increasing Subarrays Detection I,adjacent-increasing-subarrays-detection-i,Easy,False
3610,Find X-Sum of All K-Long Subarrays I,find-x-sum-of-all-k-long-subarrays-i,Easy,False
3606,Minimum Element After Replacement With Digit Sum,minimum-element-after-replacement-with-digit-sum,Easy,False
3605,Construct the Minimum Bitwise Array I,construct-the-minimum-bitwise-array-i,Easy,False
3600,Find the K-th Character in String Game I,find-the-k-th-character-in-string-game-i,Easy,False
3582,Find Indices of Stable Mountains,find-indices-of-stable-mountains,Easy,False
3581,The Two Sneaky Numbers of Digitville,the-two-sneaky-numbers-of-digitville,Easy,False
3568,Find the Key of the Numbers,find-the-key-of-the-numbers,Easy,False
3567,Convert Date to Binary,convert-date-to-binary,Easy,False
3555,Final Array State After K Multiplication Operations I,final-array-state-after-k-multiplication-operations-i,Easy,False
3553,Check if Two Chessboard Squares Have the Same Color,check-if-two-chessboard-squares-have-the-same-color,Easy,False
3543,Count Substrings That Satisfy K-Constraint I,count-substrings-that-satisfy-k-constraint-i,Easy,False
3533,Snake in Matrix,snake-in-matrix,Easy,False
3519,Find the Number of Winning Players,find-the-number-of-winning-players,Easy,False
3516,Design Neighbor Sum Service,design-neighbor-sum-service,Easy,False
3515,Find if Digit Game Can Be Won,find-if-digit-game-can-be-won,Easy,False
3511,Find the Winning Player in Coin Game,find-the-winning-player-in-coin-game,Easy,False
3508,Number of Bit Changes to Make Two Integers Equal,number-of-bit-changes-to-make-two-integers-equal,Easy,False
3484,Lexicographically Smallest String After a Swap,lexicographically-smallest-string-after-a-swap,Easy,False
3476,Find Minimum Operations to Make All Elements Divisible by Three,find-minimum-operations-to-make-all-elements-divisible-by-three,Easy,False
3471,Minimum Average of Smallest and Largest Elements,minimum-average-of-smallest-and-largest-elements,Easy,False
3469,Maximum Height of a Triangle,maximum-height-of-a-triangle,Easy,False
3468,Find the Encrypted String,find-the-encrypted-string,Easy,False
3463,Alternating Groups I,alternating-groups-i,Easy,False
3450,Find the Child Who Has the Ball After K Seconds,find-the-child-who-has-the-ball-after-k-seconds,Easy,False
3447,Clear Digits,clear-digits,Easy,False
3446,Find the Number of Good Pairs I,find-the-number-of-good-pairs-i,Easy,False
3429,Special Array I,special-array-i,Easy,False
3428,Find the XOR of Numbers Which Appear Twice,find-the-xor-of-numbers-which-appear-twice,Easy,False
3426,Minimum Number of Chairs in a Waiting Room,minimum-number-of-chairs-in-a-waiting-room,Easy,False
3421,Count Pairs That Form a Complete Day I,count-pairs-that-form-a-complete-day-i,Easy,False
3415,Check if Grid Satisfies Conditions,check-if-grid-satisfies-conditions,Easy,False
3412,Permutation Difference between Two Strings,permutation-difference-between-two-strings,Easy,False
3408,Count the Number of Special Characters I,count-the-number-of-special-characters-i,Easy,False
3398,Make a Square with the Same Color,make-a-square-with-the-same-color,Easy,False
3397,Find the Integer Added to Array I,find-the-integer-added-to-array-i,Easy,False
3396,Valid Word,valid-word,Easy,False
