slug,difficulty,total_testcases,total_correct,runtime_percentile,state,memory_percentile,status_msg,processed
largest-number-after-digit-swaps-by-parity,Easy,238,238,0.1518,SUCCESS,46.4339,Accepted,TRUE
smallest-divisible-digit-product-i,Easy,1000,1000,2.924,SUCCESS,73.9766,Accepted,TRUE
minimize-xor,Medium,280,280,4.3583,SUCCESS,68.0387,Accepted,TRUE
final-value-of-variable-after-performing-operations,Easy,259,259,4.8586,SUCCESS,17.5042,Accepted,TRUE
maximum-running-time-of-n-computers,Hard,52,52,5.0751,SUCCESS,23.1884,Accepted,TRUE
find-minimum-diameter-after-merging-two-trees,Hard,723,723,5.1381,SUCCESS,39.2515,Accepted,TRUE
minimum-edge-reversals-so-every-node-is-reachable,Hard,421,421,5.2149,SUCCESS,13.042,Accepted,TRUE
split-the-array-to-make-coprime-products,Hard,75,75,5.3584,SUCCESS,22.0622,Accepted,TRUE
mark-elements-on-array-by-performing-queries,Medium,661,661,5.4405,SUCCESS,86.3945,Accepted,TRUE
count-the-number-of-fair-pairs,Medium,55,55,5.6105,SUCCESS,7.1256,Accepted,TRUE
maximize-score-of-numbers-in-ranges,Medium,686,686,5.7894,SUCCESS,5.7854,Accepted,TRUE
minimum-fuel-cost-to-report-to-the-capital,Medium,131,131,6.0098,SUCCESS,5.0748,Accepted,TRUE
string-compression-ii,Hard,144,144,6.1055,SUCCESS,36.1106,Accepted,TRUE
distribute-elements-into-two-arrays-ii,Hard,784,784,6.2008,SUCCESS,36.531,Accepted,TRUE
maximum-number-of-non-overlapping-substrings,Hard,285,285,6.2137,SUCCESS,50.9317,Accepted,TRUE
maximum-number-of-operations-with-the-same-score-ii,Medium,549,549,6.2549,SUCCESS,63.1959,Accepted,TRUE
type-of-triangle,Easy,704,704,6.5682,SUCCESS,96.3875,Accepted,TRUE
range-product-queries-of-powers,Medium,70,70,7.2174,SUCCESS,75.2579,Accepted,TRUE
remove-letter-to-equalize-frequency,Easy,50,50,7.5744,SUCCESS,18.9359,Accepted,TRUE
prime-subtraction-operation,Medium,654,654,7.7427,SUCCESS,53.0751,Accepted,TRUE
find-the-minimum-possible-sum-of-a-beautiful-array,Medium,577,577,7.8431,SUCCESS,43.1373,Accepted,TRUE
number-of-students-unable-to-eat-lunch,Easy,55,55,8.3113,SUCCESS,20.7597,Accepted,TRUE
maximum-sum-queries,Hard,1415,1415,8.3326,SUCCESS,13.8885,Accepted,TRUE
longest-unequal-adjacent-groups-subsequence-i,Easy,382,382,8.4143,SUCCESS,68.6084,Accepted,TRUE
minimum-number-of-pushes-to-type-word-ii,Medium,877,877,8.6208,SUCCESS,40.8046,Accepted,TRUE
form-smallest-number-from-two-digit-arrays,Easy,388,388,9.1205,SUCCESS,52.1173,Accepted,TRUE
longest-palindromic-subsequence-after-at-most-k-operations,Medium,550,550,9.4481,SUCCESS,21.2042,Accepted,TRUE
find-indices-with-index-and-value-difference-i,Easy,525,525,10.2726,SUCCESS,42.1384,Accepted,TRUE
clear-digits,Easy,688,688,10.3316,SUCCESS,29.5986,Accepted,TRUE
minimum-amount-of-time-to-fill-cups,Easy,280,280,10.3789,SUCCESS,29.654,Accepted,TRUE
best-position-for-a-service-centre,Hard,56,56,11.0238,SUCCESS,44.8819,Accepted,TRUE
find-if-digit-game-can-be-won,Easy,897,897,11.4536,SUCCESS,59.0308,Accepted,TRUE
using-a-robot-to-print-the-lexicographically-smallest-string,Medium,62,62,11.6399,SUCCESS,72.9451,Accepted,TRUE
maximize-number-of-nice-divisors,Hard,213,213,11.947,SUCCESS,27.4336,Accepted,TRUE
maximum-number-of-moves-in-a-grid,Medium,814,814,12.3375,SUCCESS,71.4548,Accepted,TRUE
count-of-matches-in-tournament,Easy,200,200,12.3569,SUCCESS,71.9313,Accepted,TRUE
minimum-operations-to-exceed-threshold-value-ii,Medium,676,676,12.4792,SUCCESS,15.5558,Accepted,TRUE
total-cost-to-hire-k-workers,Medium,163,163,12.6304,SUCCESS,34.2378,Accepted,TRUE
remove-methods-from-project,Medium,775,775,12.9225,SUCCESS,12.244,Accepted,TRUE
divide-nodes-into-the-maximum-number-of-groups,Hard,57,57,13.2019,SUCCESS,98.3146,Accepted,TRUE
sum-of-all-subset-xor-totals,Easy,48,48,13.2393,SUCCESS,56.1543,Accepted,TRUE
reverse-odd-levels-of-binary-tree,Medium,57,57,13.3336,SUCCESS,81.7021,Accepted,TRUE
count-pairs-whose-sum-is-less-than-target,Easy,707,707,13.3352,SUCCESS,85.9993,Accepted,TRUE
apple-redistribution-into-boxes,Easy,565,565,13.4771,SUCCESS,85.9838,Accepted,TRUE
construct-the-minimum-bitwise-array-i,Easy,658,658,13.5365,SUCCESS,85.9116,Accepted,TRUE
closest-prime-numbers-in-range,Medium,68,68,13.537,SUCCESS,79.1375,Accepted,TRUE
maximize-amount-after-two-days-of-conversions,Medium,767,767,13.6841,SUCCESS,25.5262,Accepted,TRUE
divide-an-array-into-subarrays-with-minimum-cost-i,Easy,988,988,13.7168,SUCCESS,31.8584,Accepted,TRUE
find-closest-number-to-zero,Easy,227,227,13.8446,SUCCESS,94.466,Accepted,TRUE
minimum-number-of-operations-to-make-elements-in-array-distinct,Easy,781,781,13.9172,SUCCESS,27.9838,Accepted,TRUE
count-complete-subarrays-in-an-array,Medium,1074,1074,13.97,SUCCESS,75.571,Accepted,TRUE
minimum-number-of-operations-to-make-array-empty,Medium,748,748,14.1173,SUCCESS,93.3031,Accepted,TRUE
lexicographically-smallest-string-after-operations-with-constraint,Medium,600,600,14.6464,SUCCESS,28.2828,Accepted,TRUE
minimum-number-of-seconds-to-make-mountain-height-zero,Medium,571,571,14.7455,SUCCESS,61.5384,Accepted,TRUE
