slug,title,generated_code,status,error
maximum-containers-on-a-ship,Maximum Containers on a Ship,"```python
class Solution:
    def maxContainers(self, n: int, w: int, maxWeight: int) -> int:
        max_possible = n * n
        if w == 0:
            return max_possible
        max_containers = maxWeight // w
        return min(max_containers, max_possible)
```",Y,
unique-3-digit-even-numbers,Unique 3-Digit Even Numbers,"```python
from typing import List

class Solution:
    def totalNumbers(self, digits: List[int]) -> int:
        from collections import defaultdict
        
        count = defaultdict(int)
        for d in digits:
            count[d] += 1
        
        res = 0
        
        for first in range(1, 10):
            if count[first] == 0:
                continue
            count[first] -= 1
            
            for second in range(0, 10):
                if count[second] == 0:
                    continue
                count[second] -= 1
                
                for third in range(0, 10, 2):
                    if count[third] > 0:
                        res += 1
                
                count[second] += 1
            
            count[first] += 1
        
        return res
```",Y,
fruits-into-baskets-ii,Fruits Into Baskets II,"```python
from typing import List

class Solution:
    def numOfUnplacedFruits(self, fruits: List[int], baskets: List[int]) -> int:
        unplaced = 0
        used_baskets = [False] * len(baskets)
        
        for fruit in fruits:
            placed = False
            for i in range(len(baskets)):
                if not used_baskets[i] and baskets[i] >= fruit:
                    used_baskets[i] = True
                    placed = True
                    break
            if not placed:
                unplaced += 1
                
        return unplaced
```",Y,
maximum-unique-subarray-sum-after-deletion,Maximum Unique Subarray Sum After Deletion,"```python
class Solution:
    def maxSum(self, nums: List[int]) -> int:
        max_sum = -float('inf')
        n = len(nums)
        
        for i in range(n):
            current_sum = 0
            seen = set()
            for j in range(i, n):
                if nums[j] in seen:
                    break
                seen.add(nums[j])
                current_sum += nums[j]
                if current_sum > max_sum:
                    max_sum = current_sum
        
        return max_sum if max_sum != -float('inf') else 0
```",Y,
transform-array-by-parity,Transform Array by Parity,"```python
class Solution:
    def transformArray(self, nums: List[int]) -> List[int]:
        transformed = [0 if num % 2 == 0 else 1 for num in nums]
        transformed.sort()
        return transformed
```",Y,
check-if-digits-are-equal-in-string-after-operations-i,Check If Digits Are Equal in String After Operations I,"```python
class Solution:
    def hasSameDigits(self, s: str) -> bool:
        while len(s) > 2:
            new_s = []
            for i in range(len(s) - 1):
                new_digit = (int(s[i]) + int(s[i+1])) % 10
                new_s.append(str(new_digit))
            s = ''.join(new_s)
        return s[0] == s[1]
```",Y,
maximum-difference-between-even-and-odd-frequency-i,Maximum Difference Between Even and Odd Frequency I,"```python
class Solution:
    def maxDifference(self, s: str) -> int:
        freq = {}
        for char in s:
            freq[char] = freq.get(char, 0) + 1
        
        even_freq = []
        odd_freq = []
        
        for count in freq.values():
            if count % 2 == 0:
                even_freq.append(count)
            else:
                odd_freq.append(count)
        
        if not even_freq or not odd_freq:
            return 0
        
        max_odd = max(odd_freq)
        min_even = min(even_freq)
        
        return max_odd - min_even
```",Y,
maximum-difference-between-adjacent-elements-in-a-circular-array,Maximum Difference Between Adjacent Elements in a Circular Array,"```python
from typing import List

class Solution:
    def maxAdjacentDistance(self, nums: List[int]) -> int:
        max_diff = 0
        n = len(nums)
        for i in range(n):
            diff = abs(nums[i] - nums[(i + 1) % n])
            if diff > max_diff:
                max_diff = diff
        return max_diff
```",Y,
find-valid-pair-of-adjacent-digits-in-string,Find Valid Pair of Adjacent Digits in String,"```python
class Solution:
    def findValidPair(self, s: str) -> str:
        from collections import defaultdict
        
        count = defaultdict(int)
        for ch in s:
            count[ch] += 1
        
        for i in range(len(s) - 1):
            first = s[i]
            second = s[i+1]
            if first != second:
                if int(first) == count[first] and int(second) == count[second]:
                    return first + second
        return """"
```",Y,
sum-of-variable-length-subarrays,Sum of Variable Length Subarrays,"```python
class Solution:
    def subarraySum(self, nums: List[int]) -> int:
        total = 0
        n = len(nums)
        for i in range(n):
            start = max(0, i - nums[i] + 1)
            subarray = nums[start:i+1]
            total += sum(subarray)
        return total
```",Y,
sum-of-good-numbers,Sum of Good Numbers,"```python
from typing import List

class Solution:
    def sumOfGoodNumbers(self, nums: List[int], k: int) -> int:
        total = 0
        n = len(nums)
        for i in range(n):
            left = i - k
            right = i + k
            is_good = True
            if left >= 0 and nums[i] <= nums[left]:
                is_good = False
            if right < n and nums[i] <= nums[right]:
                is_good = False
            if is_good:
                total += nums[i]
        return total
```",Y,
find-special-substring-of-length-k,Find Special Substring of Length K,"```python
class Solution:
    def hasSpecialSubstring(self, s: str, k: int) -> bool:
        n = len(s)
        for i in range(n - k + 1):
            substring = s[i:i+k]
            if len(set(substring)) == 1:
                left_ok = (i == 0) or (s[i-1] != substring[0])
                right_ok = (i + k == n) or (s[i+k] != substring[0])
                if left_ok and right_ok:
                    return True
        return False
```",Y,
zigzag-grid-traversal-with-skip,Zigzag Grid Traversal With Skip,"```python
from typing import List

class Solution:
    def zigzagTraversal(self, grid: List[List[int]]) -> List[int]:
        result = []
        m = len(grid)
        if m == 0:
            return result
        n = len(grid[0])
        
        for i in range(m):
            if i % 2 == 0:
                for j in range(0, n, 2):
                    result.append(grid[i][j])
            else:
                for j in range(n-1, -1, -2):
                    result.append(grid[i][j])
        
        return result
```",Y,
